ID,제목,내용,카테고리,서브카테고리,캠퍼스,등록자,등록일,수정자,수정일
학칙_대학_186,1항,"본교에 평생교육원, 을지아동발달센터, 을지인력개발원, 교육개발연구센터, 임상수기훈련센터 및 각종 연구소 등의 부설기관을 둔다.",학칙_대학 > 학칙 > 제21장 부속기관 및 부설기관 > 제79조(부설기관),,,,,,
학칙_대학_187,2항,(삭제),학칙_대학 > 학칙 > 제21장 부속기관 및 부설기관 > 제79조(부설기관),,,,,,
학칙_대학_188,3항,전항의 각 부설기관의 운영에 필요한 규정은 별도로 정한다.,학칙_대학 > 학칙 > 제21장 부속기관 및 부설기관 > 제79조(부설기관),,,,,,
학칙_대학_189,1항,본교에 '산업 교육진흥 및 산학협동촉진에 관한 법률' 제25조에서 규정한 산학협력단을 설치한다.,학칙_대학 > 학칙 > 제22장 산학협력단 등 > 제80조(산학협력단),,,,,,
학칙_대학_190,2항,"산학협력단은 본교 산하 별도 법인으로 설립하며, 관련법령이 정하는 업무를 수행한다.",학칙_대학 > 학칙 > 제22장 산학협력단 등 > 제80조(산학협력단),,,,,,
학칙_대학_191,3항,산학협력단의 운영에 관한 사항은 따로 정한다.,학칙_대학 > 학칙 > 제22장 산학협력단 등 > 제80조(산학협력단),,,,,,
학칙_대학_192,제81조(계약학과 등),"산업교육진흥 및 산학협력촉진을 위하여 국가, 지방자치단체 또는 산업체 등과의 계약에 의한 계약학과 또는 직업교육훈련과정을 둘 수 있으며, 이의 운영에 관하여 특별히 필요한 사항은 따로 정한다.",학칙_대학 > 학칙 > 제22장 산학협력단 등,,,,,,
학칙_대학_193,1항,학칙개정이 필요한 사유가 발생한 경우에는 업무관련 부서의 장은 교무혁신처장에게 학칙개정안을 제안하여야 한다.,학칙_대학 > 학칙 > 제23장 학칙 개정 > 제82조(학칙개정),,,,,,
학칙_대학_194,2항,"교무혁신처장은 특별한 경우를 제외하고는 교무위원회에서 검토한 후 학칙 개정안을 10일 이상 사전 공고하여야 한다. 다만, 긴급히 추진하여야 할 사유가 있을 때에는 그 기간을 단축할 수 있다.",학칙_대학 > 학칙 > 제23장 학칙 개정 > 제82조(학칙개정),,,,,,
학칙_대학_195,3항,학칙개정안의 공고는 학내 게시판 또는 대학 홈페이지 등을 이용하여 사전 공고한다.,학칙_대학 > 학칙 > 제23장 학칙 개정 > 제82조(학칙개정),,,,,,
학칙_대학_196,4항,"학칙개정절차는 개정안을 사전 공고하여 조정된 내용을 규정심의위원회와 대학평의원회의 심의를 거쳐 교무위원회의 결의로 개정되며, 이를 교육부장관에게 보고 후 공포한다.",학칙_대학 > 학칙 > 제23장 학칙 개정 > 제82조(학칙개정),,,,,,
학칙_대학_197,1항,대학의 교육여건 개선 및 연구·교육 등의 질적 향상을 위하여 자체평가를 실시한다.,학칙_대학 > 학칙 > 제24장 자체평가 > 제83조(자체평가),,,,,,
